地区,Region,t1996,t1997,t1998,t1999,t2000,t2001,t2002,t2003,t2004,t2005,t2006,t2007,t2008,t2009,t2010,t2011,t2012,t2013,t2014,t2015
全国,National Total,122389,123626,124810,125909,126743,127627,128453,129227,129988,130756,131448,132129,132802,133450,134091,134735,135404,136072,136782,137462
北京,Beijing,1259,1240,1246,1257,1364,1385,1423,1456,1493,1538,1601,1676,1771,1860,1962,2019,2069,2115,2152,2170.5
天津,Tianjin,948,953,957,959,1001,1004,1007,1011,1024,1043,1075,1115,1176,1228,1299,1355,1413,1472,1517,1546.95
河北,Hebei,6484,6525,6569,6614,6674,6699,6735,6769,6809,6851,6898,6943,6989,7034,7194,7241,7288,7333,7384,7424.92
山西,Shanxi,3109,3141,3172,3204,3247,3272,3294,3314,3335,3355,3375,3393,3411,3427,3574,3593,3611,3630,3648,3664.12
内蒙古,Inner Mongolia,2307,2326,2345,2362,2372,2381,2384,2386,2393,2403,2415,2429,2444,2458,2472,2482,2490,2498,2505,2511.04
辽宁,Liaoning,4116,4138,4157,4171,4184,4194,4203,4210,4217,4221,4271,4298,4315,4341,4375,4383,4389,4390,4391,4382.4
吉林,Jilin,2610,2628,2644,2658,2682,2691,2699,2704,2709,2716,2723,2730,2734,2740,2747,2749,2750,2751,2752,2753.32
黑龙江,Heilongjiang,3728,3751,3773,3792,3807,3811,3813,3815,3817,3820,3823,3824,3825,3826,3833,3834,3834,3835,3833,3811.7
上海,Shanghai,1419,1457,1464,1474,1609,1668,1713,1766,1835,1890,1964,2064,2141,2210,2303,2347,2380,2415,2426,2415.27
江苏,Jiangsu,7110,7148,7182,7213,7327,7359,7406,7458,7523,7588,7656,7723,7762,7810,7869,7899,7920,7939,7960,7976.3
浙江,Zhejiang,4343,4435,4456,4475,4680,4729,4776,4857,4925,4991,5072,5155,5212,5276,5447,5463,5477,5498,5508,5539
安徽,Anhui,6070,6127,6184,6237,6093,6128,6144,6163,6228,6120,6110,6118,6135,6131,5957,5968,5988,6030,6083,6143.6
福建,Fujian,3261,3282,3299,3316,3410,3445,3476,3502,3529,3557,3585,3612,3639,3666,3693,3720,3748,3774,3806,3839
江西,Jiangxi,4105,4150,4191,4231,4149,4186,4222,4254,4284,4311,4339,4368,4400,4432,4462,4488,4504,4522,4542,4565.63
山东,Shandong,8738,8785,8838,8883,8998,9041,9082,9125,9180,9248,9309,9367,9417,9470,9588,9637,9685,9733,9789,9847.16
河南,Henan,9172,9243,9315,9387,9488,9555,9613,9667,9717,9380,9392,9360,9429,9487,9405,9388,9406,9413,9436,9480
湖北,Hubei,5825,5873,5907,5938,5646,5658,5672,5685,5698,5710,5693,5699,5711,5720,5728,5758,5779,5799,5816,5851.5
湖南,Hunan,6428,6465,6502,6532,6562,6596,6629,6663,6698,6326,6342,6355,6380,6406,6570,6596,6639,6691,6737,6783.03
广东,Guangdong,6961,7051,7143,7270,8650,8733,8842,8963,9111,9194,9442,9660,9893,10130,10441,10505,10594,10644,10724,10849
广西,Guangxi,4589,4633,4675,4713,4751,4788,4822,4857,4889,4660,4719,4768,4816,4856,4610,4645,4682,4719,4754,4796
海南,Hainan,734,743,753,762,789,796,803,811,818,828,836,845,854,864,869,877,887,895,903,910.82
重庆,Chongqing,11430,3042,3060,3075,2849,2829,2814,2803,2793,2798,2808,2816,2839,2859,2885,2919,2945,2970,2991,3016.55
四川,Sichuan,3555,8430,8493,8550,8329,8143,8110,8176,8090,8212,8169,8127,8138,8185,8045,8050,8076,8107,8140,8204
贵州,Guizhou,4042,3606,3658,3710,3756,3799,3837,3870,3904,3730,3690,3632,3596,3537,3479,3469,3484,3502,3508,3529.5
云南,Yunnan,244,4094,4144,4192,4241,4287,4333,4376,4415,4450,4483,4514,4543,4571,4602,4631,4659,4687,4714,4741.8
西藏,Tibet,3543,248,252,256,258,263,267,272,276,280,285,289,292,296,300,303,308,312,318,323.97
陕西,Shaanxi,2467,3570,3596,3618,3644,3653,3662,3672,3681,3690,3699,3708,3718,3727,3735,3743,3753,3764,3775,3793
甘肃,Gansu,488,2494,2519,2543,2515,2523,2531,2537,2541,2545,2547,2548,2551,2555,2560,2564,2578,2582,2591,2599.55
青海,Qinghai,521,496,503,510,517,523,529,534,539,543,548,552,554,557,563,568,573,578,583,588.43
宁夏,Ningxia,1689,530,538,543,554,563,572,580,588,596,604,610,618,625,633,639,647,654,662,667.88
新疆,Xinjiang,,1718,1747,1774,1849,1876,1905,1934,1963,2010,2050,2095,2131,2159,2185,2209,2233,2264,2298,2359.73
